seqid,phobius_start,phobius_end,phobius_type
TRIREDRAFT_104197-t26_1,6,14,SP
TRIREDRAFT_104203-t26_1,4,11,SP
TRIREDRAFT_104206-t26_1,5,16,SP
TRIREDRAFT_104219-t26_1,3,13,SP
TRIREDRAFT_104227-t26_1,3,14,SP
TRIREDRAFT_104230-t26_1,31,50,TM
TRIREDRAFT_104231-t26_1,12,30,TM
TRIREDRAFT_104251-t26_1,6,26,TM
TRIREDRAFT_104260-t26_1,6,17,SP
TRIREDRAFT_104277-t26_1,7,15,SP
TRIREDRAFT_104293-t26_1,4,11,SP
TRIREDRAFT_104322-t26_1,40,58,TM
TRIREDRAFT_104333-t26_1,3,13,SP
TRIREDRAFT_104343-t26_1,20,42,TM
TRIREDRAFT_104354-t26_1,3,14,SP
TRIREDRAFT_104356-t26_1,4,15,SP
TRIREDRAFT_104373-t26_1,5,15,SP
TRIREDRAFT_104395-t26_1,13,21,SP
TRIREDRAFT_104401-t26_1,3,11,SP
TRIREDRAFT_104413-t26_1,18,41,TM
TRIREDRAFT_104418-t26_1,3,13,SP
TRIREDRAFT_104419-t26_1,4,14,SP
TRIREDRAFT_104423-t26_1,4,15,SP
TRIREDRAFT_104461-t26_1,3,14,SP
TRIREDRAFT_104513-t26_1,3,14,SP
TRIREDRAFT_104514-t26_1,31,49,TM
TRIREDRAFT_104533-t26_1,20,38,TM
TRIREDRAFT_104556-t26_1,11,19,SP
TRIREDRAFT_104584-t26_1,6,17,SP
TRIREDRAFT_104664-t26_1,2,10,SP
TRIREDRAFT_104762-t26_1,2,9,SP
TRIREDRAFT_104785-t26_1,8,19,SP
TRIREDRAFT_104797-t26_1,7,14,SP
TRIREDRAFT_104907-t26_1,20,53,TM
TRIREDRAFT_104925-t26_1,5,15,SP
TRIREDRAFT_104927-t26_1,4,15,SP
TRIREDRAFT_104968-t26_1,5,16,SP
TRIREDRAFT_105003-t26_1,3,13,SP
TRIREDRAFT_105051-t26_1,8,19,SP
TRIREDRAFT_105055-t26_1,24,47,TM
TRIREDRAFT_105062-t26_1,9,18,SP
TRIREDRAFT_105072-t26_1,2,12,SP
TRIREDRAFT_105156-t26_1,2,10,SP
TRIREDRAFT_105221-t26_1,20,36,TM
TRIREDRAFT_105222-t26_1,3,11,SP
TRIREDRAFT_105223-t26_1,4,15,SP
TRIREDRAFT_105224-t26_1,15,37,TM
TRIREDRAFT_105237-t26_1,3,14,SP
TRIREDRAFT_105246-t26_1,5,15,SP
TRIREDRAFT_105247-t26_1,4,11,SP
TRIREDRAFT_105275-t26_1,8,15,SP
TRIREDRAFT_105279-t26_1,6,14,SP
TRIREDRAFT_105288-t26_1,3,14,SP
TRIREDRAFT_105291-t26_1,10,20,SP
TRIREDRAFT_105311-t26_1,6,14,SP
TRIREDRAFT_105313-t26_1,4,12,SP
TRIREDRAFT_105328-t26_1,27,50,TM
TRIREDRAFT_105336-t26_1,3,14,SP
TRIREDRAFT_105405-t26_1,7,23,TM
TRIREDRAFT_105444-t26_1,9,19,SP
TRIREDRAFT_105454-t26_1,9,22,SP
TRIREDRAFT_105457-t26_1,33,50,TM
TRIREDRAFT_105483-t26_1,4,12,SP
TRIREDRAFT_105504-t26_1,33,53,TM
TRIREDRAFT_105533-t26_1,3,14,SP
TRIREDRAFT_105553-t26_1,6,17,SP
TRIREDRAFT_105623-t26_1,9,16,SP
TRIREDRAFT_105709-t26_1,10,18,SP
TRIREDRAFT_105729-t26_1,6,26,TM
TRIREDRAFT_105752-t26_1,30,48,TM
TRIREDRAFT_105763-t26_1,6,17,SP
TRIREDRAFT_105768-t26_1,6,27,TM
TRIREDRAFT_105785-t26_1,6,13,SP
TRIREDRAFT_105788-t26_1,7,18,SP
TRIREDRAFT_105798-t26_1,25,50,TM
TRIREDRAFT_105806-t26_1,35,54,TM
TRIREDRAFT_105808-t26_1,5,12,SP
TRIREDRAFT_105816-t26_1,5,16,SP
TRIREDRAFT_105820-t26_1,7,14,SP
TRIREDRAFT_105834-t26_1,2,9,SP
TRIREDRAFT_105840-t26_1,7,18,SP
TRIREDRAFT_105844-t26_1,6,17,SP
TRIREDRAFT_105849-t26_1,12,22,SP
TRIREDRAFT_105860-t26_1,4,11,SP
TRIREDRAFT_105869-t26_1,3,11,SP
TRIREDRAFT_105874-t26_1,8,15,SP
TRIREDRAFT_105911-t26_1,21,41,TM
TRIREDRAFT_105931-t26_1,3,11,SP
TRIREDRAFT_105956-t26_1,6,15,SP
TRIREDRAFT_105977-t26_1,23,44,TM
TRIREDRAFT_105980-t26_1,10,17,SP
TRIREDRAFT_105984-t26_1,7,18,SP
TRIREDRAFT_106024-t26_1,4,15,SP
TRIREDRAFT_106041-t26_1,2,10,SP
TRIREDRAFT_106055-t26_1,41,58,TM
TRIREDRAFT_106082-t26_1,2,13,SP
TRIREDRAFT_106120-t26_1,12,34,TM
TRIREDRAFT_106138-t26_1,5,15,SP
TRIREDRAFT_106160-t26_1,5,16,SP
TRIREDRAFT_106168-t26_1,9,22,SP
TRIREDRAFT_106205-t26_1,32,53,TM
TRIREDRAFT_106223-t26_1,8,19,SP
TRIREDRAFT_106258-t26_1,12,23,SP
TRIREDRAFT_106297-t26_1,12,34,TM
TRIREDRAFT_106306-t26_1,12,33,TM
TRIREDRAFT_106330-t26_1,25,45,TM
TRIREDRAFT_106340-t26_1,6,14,SP
TRIREDRAFT_106353-t26_1,6,17,SP
TRIREDRAFT_106356-t26_1,27,52,TM
TRIREDRAFT_106371-t26_1,3,14,SP
TRIREDRAFT_106378-t26_1,6,13,SP
TRIREDRAFT_106391-t26_1,15,26,SP
TRIREDRAFT_106405-t26_1,3,14,SP
TRIREDRAFT_106445-t26_1,4,15,SP
TRIREDRAFT_106450-t26_1,30,55,TM
TRIREDRAFT_106453-t26_1,3,13,SP
TRIREDRAFT_106457-t26_1,2,13,SP
TRIREDRAFT_106490-t26_1,28,57,TM
TRIREDRAFT_106512-t26_1,6,21,SP
TRIREDRAFT_106538-t26_1,5,16,SP
TRIREDRAFT_106554-t26_1,8,18,SP
TRIREDRAFT_106556-t26_1,36,57,TM
TRIREDRAFT_106575-t26_1,6,14,SP
TRIREDRAFT_106576-t26_1,20,43,TM
TRIREDRAFT_106584-t26_1,21,46,TM
TRIREDRAFT_106604-t26_1,21,46,TM
TRIREDRAFT_106615-t26_1,4,11,SP
TRIREDRAFT_106623-t26_1,6,28,TM
TRIREDRAFT_106647-t26_1,3,11,SP
TRIREDRAFT_106659-t26_1,12,31,TM
TRIREDRAFT_106662-t26_1,7,18,SP
TRIREDRAFT_106684-t26_1,29,50,TM
TRIREDRAFT_106781-t26_1,12,35,TM
TRIREDRAFT_106821-t26_1,23,48,TM
TRIREDRAFT_106879-t26_1,5,15,SP
TRIREDRAFT_106897-t26_1,25,36,SP
TRIREDRAFT_106936-t26_1,5,15,SP
TRIREDRAFT_106998-t26_1,9,20,SP
TRIREDRAFT_107007-t26_1,3,13,SP
TRIREDRAFT_107011-t26_1,7,18,SP
TRIREDRAFT_107012-t26_1,10,20,SP
TRIREDRAFT_107037-t26_1,3,13,SP
TRIREDRAFT_107042-t26_1,6,25,TM
TRIREDRAFT_107123-t26_1,5,13,SP
TRIREDRAFT_107131-t26_1,6,17,SP
TRIREDRAFT_107132-t26_1,4,11,SP
TRIREDRAFT_107137-t26_1,29,50,TM
TRIREDRAFT_107142-t26_1,3,11,SP
TRIREDRAFT_107187-t26_1,20,41,TM
TRIREDRAFT_107205-t26_1,27,45,TM
TRIREDRAFT_107208-t26_1,11,22,SP
TRIREDRAFT_107258-t26_1,12,33,TM
TRIREDRAFT_107279-t26_1,20,41,TM
TRIREDRAFT_107285-t26_1,41,59,TM
TRIREDRAFT_107294-t26_1,36,58,TM
TRIREDRAFT_107298-t26_1,7,14,SP
TRIREDRAFT_107325-t26_1,33,52,TM
TRIREDRAFT_107347-t26_1,4,15,SP
TRIREDRAFT_107360-t26_1,7,25,TM
TRIREDRAFT_107436-t26_1,6,17,SP
TRIREDRAFT_107475-t26_1,11,19,SP
TRIREDRAFT_107479-t26_1,22,43,TM
TRIREDRAFT_107495-t26_1,6,17,SP
TRIREDRAFT_107503-t26_1,20,44,TM
TRIREDRAFT_107507-t26_1,6,28,TM
TRIREDRAFT_107523-t26_1,19,27,SP
TRIREDRAFT_107644-t26_1,6,31,TM
TRIREDRAFT_107670-t26_1,24,44,TM
TRIREDRAFT_107715-t26_1,2,12,SP
TRIREDRAFT_107768-t26_1,43,59,TM
TRIREDRAFT_107835-t26_1,6,14,SP
TRIREDRAFT_107848-t26_1,13,21,SP
TRIREDRAFT_107850-t26_1,7,15,SP
TRIREDRAFT_107856-t26_1,15,33,TM
TRIREDRAFT_107867-t26_1,4,14,SP
TRIREDRAFT_107869-t26_1,36,58,TM
TRIREDRAFT_107896-t26_1,3,14,SP
TRIREDRAFT_107960-t26_1,4,15,SP
TRIREDRAFT_107971-t26_1,5,16,SP
TRIREDRAFT_107973-t26_1,34,53,TM
TRIREDRAFT_108012-t26_1,3,16,SP
TRIREDRAFT_108075-t26_1,4,14,SP
TRIREDRAFT_108188-t26_1,11,21,SP
TRIREDRAFT_108202-t26_1,4,15,SP
TRIREDRAFT_108216-t26_1,5,16,SP
TRIREDRAFT_108233-t26_1,31,52,TM
TRIREDRAFT_108251-t26_1,4,14,SP
TRIREDRAFT_108261-t26_1,40,59,TM
TRIREDRAFT_108349-t26_1,5,17,SP
TRIREDRAFT_108356-t26_1,5,18,SP
TRIREDRAFT_108381-t26_1,2,9,SP
TRIREDRAFT_108383-t26_1,3,14,SP
TRIREDRAFT_108387-t26_1,8,16,SP
TRIREDRAFT_108412-t26_1,26,37,SP
TRIREDRAFT_108418-t26_1,6,17,SP
TRIREDRAFT_108458-t26_1,3,14,SP
TRIREDRAFT_108459-t26_1,4,14,SP
TRIREDRAFT_108460-t26_1,4,15,SP
TRIREDRAFT_108540-t26_1,23,44,TM
TRIREDRAFT_108543-t26_1,6,32,TM
TRIREDRAFT_108546-t26_1,6,14,SP
TRIREDRAFT_108570-t26_1,4,16,SP
TRIREDRAFT_108577-t26_1,7,15,SP
TRIREDRAFT_108585-t26_1,3,14,SP
TRIREDRAFT_108591-t26_1,4,12,SP
TRIREDRAFT_108642-t26_1,3,11,SP
TRIREDRAFT_108655-t26_1,7,15,SP
TRIREDRAFT_108663-t26_1,3,14,SP
TRIREDRAFT_108671-t26_1,8,17,SP
TRIREDRAFT_108672-t26_1,10,21,SP
TRIREDRAFT_108676-t26_1,6,14,SP
TRIREDRAFT_108683-t26_1,38,58,TM
TRIREDRAFT_108684-t26_1,3,14,SP
TRIREDRAFT_108686-t26_1,8,20,SP
TRIREDRAFT_108715-t26_1,2,13,SP
TRIREDRAFT_108721-t26_1,7,14,SP
TRIREDRAFT_108749-t26_1,27,48,TM
TRIREDRAFT_108776-t26_1,4,12,SP
TRIREDRAFT_108802-t26_1,40,59,TM
TRIREDRAFT_108835-t26_1,6,26,TM
TRIREDRAFT_108914-t26_1,27,47,TM
TRIREDRAFT_109039-t26_1,26,48,TM
TRIREDRAFT_109078-t26_1,2,7,SP
TRIREDRAFT_109120-t26_1,22,40,TM
TRIREDRAFT_109146-t26_1,33,56,TM
TRIREDRAFT_109231-t26_1,7,15,SP
TRIREDRAFT_109235-t26_1,5,13,SP
TRIREDRAFT_109237-t26_1,37,58,TM
TRIREDRAFT_109253-t26_1,4,15,SP
TRIREDRAFT_109255-t26_1,3,14,SP
TRIREDRAFT_109276-t26_1,3,13,SP
TRIREDRAFT_109278-t26_1,3,13,SP
TRIREDRAFT_109287-t26_1,3,14,SP
TRIREDRAFT_109317-t26_1,6,14,SP
TRIREDRAFT_109319-t26_1,3,14,SP
TRIREDRAFT_109331-t26_1,7,17,SP
TRIREDRAFT_109335-t26_1,4,15,SP
TRIREDRAFT_109351-t26_1,5,16,SP
TRIREDRAFT_109364-t26_1,6,15,SP
TRIREDRAFT_109370-t26_1,5,16,SP
TRIREDRAFT_109385-t26_1,4,11,SP
TRIREDRAFT_109392-t26_1,4,15,SP
TRIREDRAFT_109397-t26_1,12,36,TM
TRIREDRAFT_109475-t26_1,4,15,SP
TRIREDRAFT_109523-t26_1,7,18,SP
TRIREDRAFT_109531-t26_1,7,14,SP
TRIREDRAFT_109607-t26_1,30,47,TM
TRIREDRAFT_109608-t26_1,18,25,SP
TRIREDRAFT_109746-t26_1,5,16,SP
TRIREDRAFT_109787-t26_1,7,25,SP
TRIREDRAFT_109811-t26_1,12,29,TM
TRIREDRAFT_109828-t26_1,5,13,SP
TRIREDRAFT_109837-t26_1,6,23,TM
TRIREDRAFT_109849-t26_1,4,11,SP
TRIREDRAFT_109903-t26_1,2,13,SP
TRIREDRAFT_109907-t26_1,5,13,SP
TRIREDRAFT_109910-t26_1,2,13,SP
TRIREDRAFT_109911-t26_1,5,16,SP
TRIREDRAFT_109934-t26_1,5,13,SP
TRIREDRAFT_109949-t26_1,6,17,SP
TRIREDRAFT_109967-t26_1,12,37,TM
TRIREDRAFT_109994-t26_1,7,28,TM
TRIREDRAFT_110015-t26_1,6,26,TM
TRIREDRAFT_110025-t26_1,3,11,SP
TRIREDRAFT_110026-t26_1,11,22,SP
TRIREDRAFT_110040-t26_1,37,57,TM
TRIREDRAFT_110056-t26_1,21,32,SP
TRIREDRAFT_110058-t26_1,5,17,SP
TRIREDRAFT_110078-t26_1,2,13,SP
TRIREDRAFT_110117-t26_1,2,12,SP
TRIREDRAFT_110133-t26_1,4,15,SP
TRIREDRAFT_110140-t26_1,8,17,SP
TRIREDRAFT_110158-t26_1,24,49,TM
TRIREDRAFT_110259-t26_1,5,15,SP
TRIREDRAFT_110261-t26_1,4,12,SP
TRIREDRAFT_110272-t26_1,6,14,SP
TRIREDRAFT_110281-t26_1,4,14,SP
TRIREDRAFT_110316-t26_1,2,10,SP
TRIREDRAFT_110317-t26_1,6,17,SP
TRIREDRAFT_110339-t26_1,20,41,TM
TRIREDRAFT_110382-t26_1,12,31,TM
TRIREDRAFT_110403-t26_1,8,16,SP
TRIREDRAFT_110455-t26_1,5,16,SP
TRIREDRAFT_110457-t26_1,8,16,SP
TRIREDRAFT_110569-t26_1,7,15,SP
TRIREDRAFT_110600-t26_1,17,29,SP
TRIREDRAFT_110620-t26_1,12,29,TM
TRIREDRAFT_110631-t26_1,34,56,TM
TRIREDRAFT_110638-t26_1,8,16,SP
TRIREDRAFT_110653-t26_1,29,50,TM
TRIREDRAFT_110666-t26_1,20,39,TM
TRIREDRAFT_110711-t26_1,6,14,SP
TRIREDRAFT_110732-t26_1,24,45,TM
TRIREDRAFT_110733-t26_1,37,57,TM
TRIREDRAFT_110744-t26_1,12,32,TM
TRIREDRAFT_110753-t26_1,33,58,TM
TRIREDRAFT_110764-t26_1,20,42,TM
TRIREDRAFT_110791-t26_1,35,58,TM
TRIREDRAFT_110810-t26_1,12,36,TM
TRIREDRAFT_110813-t26_1,20,37,TM
TRIREDRAFT_110843-t26_1,26,49,TM
TRIREDRAFT_110855-t26_1,5,20,SP
TRIREDRAFT_110860-t26_1,5,13,SP
TRIREDRAFT_110862-t26_1,4,15,SP
TRIREDRAFT_110894-t26_1,4,15,SP
TRIREDRAFT_110902-t26_1,3,11,SP
TRIREDRAFT_110910-t26_1,6,16,SP
TRIREDRAFT_110943-t26_1,10,18,SP
TRIREDRAFT_110949-t26_1,3,13,SP
TRIREDRAFT_110983-t26_1,4,14,SP
TRIREDRAFT_111049-t26_1,38,59,TM
TRIREDRAFT_111077-t26_1,15,37,TM
TRIREDRAFT_111095-t26_1,5,12,SP
TRIREDRAFT_111102-t26_1,2,13,SP
TRIREDRAFT_111103-t26_1,29,39,SP
TRIREDRAFT_111138-t26_1,4,11,SP
TRIREDRAFT_111144-t26_1,3,14,SP
TRIREDRAFT_111186-t26_1,16,26,SP
TRIREDRAFT_111205-t26_1,4,14,SP
TRIREDRAFT_111245-t26_1,6,14,SP
TRIREDRAFT_111250-t26_1,6,24,TM
TRIREDRAFT_111251-t26_1,6,22,TM
TRIREDRAFT_111304-t26_1,3,14,SP
TRIREDRAFT_111341-t26_1,2,10,SP
TRIREDRAFT_111361-t26_1,30,50,TM
TRIREDRAFT_111426-t26_1,12,30,TM
TRIREDRAFT_111439-t26_1,4,22,SP
TRIREDRAFT_111442-t26_1,2,13,SP
TRIREDRAFT_111449-t26_1,6,13,SP
TRIREDRAFT_111450-t26_1,7,29,TM
TRIREDRAFT_111451-t26_1,7,18,SP
TRIREDRAFT_111495-t26_1,3,14,SP
TRIREDRAFT_111499-t26_1,4,14,SP
TRIREDRAFT_111514-t26_1,36,54,TM
TRIREDRAFT_111515-t26_1,38,57,TM
TRIREDRAFT_111536-t26_1,21,29,SP
TRIREDRAFT_111588-t26_1,20,42,TM
TRIREDRAFT_111600-t26_1,3,14,SP
TRIREDRAFT_111632-t26_1,12,32,TM
TRIREDRAFT_111694-t26_1,39,57,TM
TRIREDRAFT_111724-t26_1,29,51,TM
TRIREDRAFT_111729-t26_1,5,12,SP
TRIREDRAFT_111733-t26_1,6,14,SP
TRIREDRAFT_111735-t26_1,7,18,SP
TRIREDRAFT_111764-t26_1,4,14,SP
TRIREDRAFT_111803-t26_1,6,13,SP
TRIREDRAFT_111818-t26_1,3,14,SP
TRIREDRAFT_111849-t26_1,4,12,SP
TRIREDRAFT_111861-t26_1,20,43,TM
TRIREDRAFT_111865-t26_1,3,12,SP
TRIREDRAFT_111873-t26_1,21,39,TM
TRIREDRAFT_111874-t26_1,6,28,TM
TRIREDRAFT_111875-t26_1,28,52,TM
TRIREDRAFT_111881-t26_1,10,18,SP
TRIREDRAFT_111888-t26_1,20,40,TM
TRIREDRAFT_111891-t26_1,4,11,SP
TRIREDRAFT_111893-t26_1,3,14,SP
TRIREDRAFT_111897-t26_1,6,17,SP
TRIREDRAFT_111915-t26_1,2,12,SP
TRIREDRAFT_111951-t26_1,2,13,SP
TRIREDRAFT_111955-t26_1,12,19,SP
TRIREDRAFT_112002-t26_1,3,13,SP
TRIREDRAFT_112018-t26_1,4,15,SP
TRIREDRAFT_112031-t26_1,12,29,TM
TRIREDRAFT_112034-t26_1,32,52,TM
TRIREDRAFT_112037-t26_1,3,11,SP
TRIREDRAFT_112068-t26_1,20,48,TM
TRIREDRAFT_112086-t26_1,5,15,SP
TRIREDRAFT_112103-t26_1,20,37,TM
TRIREDRAFT_112114-t26_1,12,32,TM
TRIREDRAFT_112115-t26_1,7,18,SP
TRIREDRAFT_112122-t26_1,8,20,SP
TRIREDRAFT_112124-t26_1,2,12,SP
TRIREDRAFT_112128-t26_1,6,17,SP
TRIREDRAFT_112133-t26_1,30,50,TM
TRIREDRAFT_112134-t26_1,6,26,TM
TRIREDRAFT_112140-t26_1,7,16,SP
TRIREDRAFT_112180-t26_1,8,18,SP
TRIREDRAFT_112215-t26_1,5,16,SP
TRIREDRAFT_112239-t26_1,3,11,SP
TRIREDRAFT_112258-t26_1,3,13,SP
TRIREDRAFT_112286-t26_1,2,12,SP
TRIREDRAFT_112325-t26_1,3,14,SP
TRIREDRAFT_112366-t26_1,6,25,TM
TRIREDRAFT_112369-t26_1,6,21,TM
TRIREDRAFT_112372-t26_1,12,30,TM
TRIREDRAFT_112396-t26_1,9,18,SP
TRIREDRAFT_112399-t26_1,4,11,SP
TRIREDRAFT_112427-t26_1,2,13,SP
TRIREDRAFT_112440-t26_1,29,55,TM
TRIREDRAFT_112458-t26_1,12,32,TM
TRIREDRAFT_112459-t26_1,26,48,TM
TRIREDRAFT_112493-t26_1,20,39,TM
TRIREDRAFT_112507-t26_1,4,15,SP
TRIREDRAFT_112508-t26_1,6,24,TM
TRIREDRAFT_112519-t26_1,16,26,SP
TRIREDRAFT_112523-t26_1,14,32,TM
TRIREDRAFT_112538-t26_1,3,11,SP
TRIREDRAFT_112559-t26_1,24,41,TM
TRIREDRAFT_112580-t26_1,29,48,TM
TRIREDRAFT_112596-t26_1,8,19,SP
TRIREDRAFT_112602-t26_1,12,32,TM
TRIREDRAFT_112613-t26_1,30,50,TM
TRIREDRAFT_112640-t26_1,5,15,SP
TRIREDRAFT_112674-t26_1,22,39,TM
TRIREDRAFT_112676-t26_1,12,28,TM
TRIREDRAFT_112677-t26_1,20,43,TM
TRIREDRAFT_112678-t26_1,39,57,TM
TRIREDRAFT_112679-t26_1,3,13,SP
TRIREDRAFT_112683-t26_1,6,25,TM
TRIREDRAFT_112689-t26_1,28,52,TM
TRIREDRAFT_119552-t26_1,2,9,SP
TRIREDRAFT_119556-t26_1,9,16,SP
TRIREDRAFT_119568-t26_1,4,12,SP
TRIREDRAFT_119600-t26_1,4,15,SP
TRIREDRAFT_119651-t26_1,5,16,SP
TRIREDRAFT_119696.R91,4,15,SP
TRIREDRAFT_119797-t26_1,3,11,SP
TRIREDRAFT_119800-t26_1,12,31,TM
TRIREDRAFT_119805-t26_1,4,12,SP
TRIREDRAFT_119816-t26_1,39,59,TM
TRIREDRAFT_119845-t26_1,5,16,SP
TRIREDRAFT_119857-t26_1,4,15,SP
TRIREDRAFT_119859-t26_1,6,14,SP
TRIREDRAFT_119876-t26_1,4,15,SP
TRIREDRAFT_119890-t26_1,2,13,SP
TRIREDRAFT_119902-t26_1,41,59,TM
TRIREDRAFT_119963-t26_1,3,14,SP
TRIREDRAFT_119975-t26_1,3,11,SP
TRIREDRAFT_119981-t26_1,21,43,TM
TRIREDRAFT_119989-t26_1,3,10,SP
TRIREDRAFT_120067-t26_1,6,26,TM
TRIREDRAFT_120140-t26_1,24,43,TM
TRIREDRAFT_120143-t26_1,4,11,SP
TRIREDRAFT_120154-t26_1,6,24,TM
TRIREDRAFT_120172-t26_1,12,31,TM
TRIREDRAFT_120173-t26_1,6,28,TM
TRIREDRAFT_120189-t26_1,4,11,SP
TRIREDRAFT_120228-t26_1,3,11,SP
TRIREDRAFT_120229-t26_1,5,17,SP
TRIREDRAFT_120231.R207,32,39,SP
TRIREDRAFT_120236-t26_1,13,31,TM
TRIREDRAFT_120238-t26_1,12,35,TM
TRIREDRAFT_120257-t26_1,2,9,SP
TRIREDRAFT_120272-t26_1,3,11,SP
TRIREDRAFT_120312-t26_1,5,16,SP
TRIREDRAFT_120320-t26_1,6,29,TM
TRIREDRAFT_120351-t26_1,11,24,SP
TRIREDRAFT_120354-t26_1,37,56,TM
TRIREDRAFT_120365-t26_1,2,13,SP
TRIREDRAFT_120415-t26_1,43,59,TM
TRIREDRAFT_120453-t26_1,4,22,SP
TRIREDRAFT_120479-t26_1,3,13,SP
TRIREDRAFT_120504-t26_1,41,59,TM
TRIREDRAFT_120556-t26_1,12,23,SP
TRIREDRAFT_120605-t26_1,8,17,SP
TRIREDRAFT_120688-t26_1,3,16,SP
TRIREDRAFT_120697-t26_1,3,14,SP
TRIREDRAFT_120712-t26_1,4,13,SP
TRIREDRAFT_120752-t26_1,33,52,TM
TRIREDRAFT_120784-t26_1,8,19,SP
TRIREDRAFT_120807-t26_1,20,40,TM
TRIREDRAFT_120821-t26_1,3,14,SP
TRIREDRAFT_120823-t26_1,3,13,SP
TRIREDRAFT_120828-t26_1,26,46,TM
TRIREDRAFT_120837-t26_1,6,16,SP
TRIREDRAFT_120873-t26_1,8,19,SP
TRIREDRAFT_120889-t26_1,22,40,TM
TRIREDRAFT_120915-t26_1,15,23,SP
TRIREDRAFT_120923-t26_1,21,40,TM
TRIREDRAFT_120953-t26_1,20,41,TM
TRIREDRAFT_120961-t26_1,4,14,SP
TRIREDRAFT_120980-t26_1,6,17,SP
TRIREDRAFT_120998-t26_1,3,13,SP
TRIREDRAFT_121014-t26_1,16,39,TM
TRIREDRAFT_121082-t26_1,7,26,TM
TRIREDRAFT_121088-t26_1,37,58,TM
TRIREDRAFT_121127-t26_1,5,15,SP
TRIREDRAFT_121135-t26_1,5,16,SP
TRIREDRAFT_121136-t26_1,3,13,SP
TRIREDRAFT_121177-t26_1,3,14,SP
TRIREDRAFT_121189-t26_1,20,36,TM
TRIREDRAFT_121227-t26_1,23,48,TM
TRIREDRAFT_121230-t26_1,21,40,TM
TRIREDRAFT_121232-t26_1,37,57,TM
TRIREDRAFT_121239-t26_1,11,19,SP
TRIREDRAFT_121251-t26_1,4,14,SP
TRIREDRAFT_121255-t26_1,20,31,SP
TRIREDRAFT_121292-t26_1,3,13,SP
TRIREDRAFT_121294-t26_1,40,59,TM
TRIREDRAFT_121306-t26_1,3,13,SP
TRIREDRAFT_121312-t26_1,20,37,TM
TRIREDRAFT_121351-t26_1,13,25,SP
