seqid,phobius_start,phobius_end,phobius_type
tr|A0A1B2J8N8|A0A1B2J8N8_PICPA,43,59,TM
tr|A0A1B2J8Q3|A0A1B2J8Q3_PICPA,4,15,SP
tr|A0A1B2J8R9|A0A1B2J8R9_PICPA,3,11,SP
tr|A0A1B2J8Y1|A0A1B2J8Y1_PICPA,12,34,TM
tr|A0A1B2J8Y8|A0A1B2J8Y8_PICPA,5,16,SP
tr|A0A1B2J912|A0A1B2J912_PICPA,12,36,TM
tr|A0A1B2J926|A0A1B2J926_PICPA,5,12,SP
tr|A0A1B2J933|A0A1B2J933_PICPA,20,38,TM
tr|A0A1B2J957|A0A1B2J957_PICPA,14,34,TM
tr|A0A1B2J959|A0A1B2J959_PICPA,12,30,TM
tr|A0A1B2J985|A0A1B2J985_PICPA,12,29,TM
tr|A0A1B2J9E6|A0A1B2J9E6_PICPA,6,14,SP
tr|A0A1B2J9I2|A0A1B2J9I2_PICPA,3,13,SP
tr|A0A1B2J9J7|A0A1B2J9J7_PICPA,32,52,TM
tr|A0A1B2J9K1|A0A1B2J9K1_PICPA,6,17,SP
tr|A0A1B2J9S1|A0A1B2J9S1_PICPA,12,32,TM
tr|A0A1B2J9S2|A0A1B2J9S2_PICPA,4,15,SP
tr|A0A1B2J9T1|A0A1B2J9T1_PICPA,24,43,TM
tr|A0A1B2J9U3|A0A1B2J9U3_PICPA,42,59,TM
tr|A0A1B2JA00|A0A1B2JA00_PICPA,15,28,SP
tr|A0A1B2JA11|A0A1B2JA11_PICPA,25,46,TM
tr|A0A1B2JA55|A0A1B2JA55_PICPA,29,48,TM
tr|A0A1B2JA83|A0A1B2JA83_PICPA,37,59,TM
tr|A0A1B2JAA8|A0A1B2JAA8_PICPA,12,36,TM
tr|A0A1B2JAA9|A0A1B2JAA9_PICPA,11,22,SP
tr|A0A1B2JAC5|A0A1B2JAC5_PICPA,6,25,TM
tr|A0A1B2JAD5|A0A1B2JAD5_PICPA,32,55,TM
tr|A0A1B2JAJ0|A0A1B2JAJ0_PICPA,7,18,SP
tr|A0A1B2JAK1|A0A1B2JAK1_PICPA,4,14,SP
tr|A0A1B2JAM3|A0A1B2JAM3_PICPA,5,13,SP
tr|A0A1B2JAM4|A0A1B2JAM4_PICPA,12,29,TM
tr|A0A1B2JAW7|A0A1B2JAW7_PICPA,7,15,SP
tr|A0A1B2JAX3|A0A1B2JAX3_PICPA,7,26,TM
tr|A0A1B2JAY3|A0A1B2JAY3_PICPA,10,21,SP
tr|A0A1B2JAZ6|A0A1B2JAZ6_PICPA,7,15,SP
tr|A0A1B2JB03|A0A1B2JB03_PICPA,8,16,SP
tr|A0A1B2JB04|A0A1B2JB04_PICPA,33,53,TM
tr|A0A1B2JB38|A0A1B2JB38_PICPA,21,41,TM
tr|A0A1B2JB44|A0A1B2JB44_PICPA,6,27,TM
tr|A0A1B2JB56|A0A1B2JB56_PICPA,3,12,SP
tr|A0A1B2JB63|A0A1B2JB63_PICPA,43,59,TM
tr|A0A1B2JB80|A0A1B2JB80_PICPA,3,14,SP
tr|A0A1B2JB94|A0A1B2JB94_PICPA,10,19,SP
tr|A0A1B2JBA2|A0A1B2JBA2_PICPA,5,15,SP
tr|A0A1B2JBD5|A0A1B2JBD5_PICPA,3,15,SP
tr|A0A1B2JBF8|A0A1B2JBF8_PICPA,39,58,TM
tr|A0A1B2JBG1|A0A1B2JBG1_PICPA,7,24,TM
tr|A0A1B2JBG3|A0A1B2JBG3_PICPA,4,14,SP
tr|A0A1B2JBG9|A0A1B2JBG9_PICPA,6,14,SP
tr|A0A1B2JBN8|A0A1B2JBN8_PICPA,34,58,TM
tr|A0A1B2JBQ4|A0A1B2JBQ4_PICPA,6,29,TM
tr|A0A1B2JBQ7|A0A1B2JBQ7_PICPA,4,14,SP
tr|A0A1B2JBS4|A0A1B2JBS4_PICPA,6,13,SP
tr|A0A1B2JBT3|A0A1B2JBT3_PICPA,16,35,TM
tr|A0A1B2JBU6|A0A1B2JBU6_PICPA,15,36,TM
tr|A0A1B2JBZ2|A0A1B2JBZ2_PICPA,6,13,SP
tr|A0A1B2JC48|A0A1B2JC48_PICPA,6,27,TM
tr|A0A1B2JC64|A0A1B2JC64_PICPA,4,15,SP
tr|A0A1B2JC68|A0A1B2JC68_PICPA,8,16,SP
tr|A0A1B2JC86|A0A1B2JC86_PICPA,38,58,TM
tr|A0A1B2JCA2|A0A1B2JCA2_PICPA,7,18,SP
tr|A0A1B2JCC4|A0A1B2JCC4_PICPA,5,13,SP
tr|A0A1B2JCH8|A0A1B2JCH8_PICPA,6,24,TM
tr|A0A1B2JCJ4|A0A1B2JCJ4_PICPA,3,12,SP
tr|A0A1B2JCK6|A0A1B2JCK6_PICPA,3,14,SP
tr|A0A1B2JCN3|A0A1B2JCN3_PICPA,34,55,TM
tr|A0A1B2JCP4|A0A1B2JCP4_PICPA,6,16,SP
tr|A0A1B2JCP6|A0A1B2JCP6_PICPA,12,33,TM
tr|A0A1B2JCQ6|A0A1B2JCQ6_PICPA,7,15,SP
tr|A0A1B2JCQ8|A0A1B2JCQ8_PICPA,14,36,TM
tr|A0A1B2JCS6|A0A1B2JCS6_PICPA,3,13,SP
tr|A0A1B2JCT0|A0A1B2JCT0_PICPA,38,59,TM
tr|A0A1B2JCT4|A0A1B2JCT4_PICPA,6,17,SP
tr|A0A1B2JCT6|A0A1B2JCT6_PICPA,42,59,TM
tr|A0A1B2JCV4|A0A1B2JCV4_PICPA,27,49,TM
tr|A0A1B2JCW6|A0A1B2JCW6_PICPA,30,52,TM
tr|A0A1B2JCY2|A0A1B2JCY2_PICPA,3,14,SP
tr|A0A1B2JD01|A0A1B2JD01_PICPA,12,32,TM
tr|A0A1B2JD13|A0A1B2JD13_PICPA,2,12,SP
tr|A0A1B2JD16|A0A1B2JD16_PICPA,28,39,SP
tr|A0A1B2JD38|A0A1B2JD38_PICPA,40,57,TM
tr|A0A1B2JD46|A0A1B2JD46_PICPA,4,11,SP
tr|A0A1B2JD49|A0A1B2JD49_PICPA,4,15,SP
tr|A0A1B2JD60|A0A1B2JD60_PICPA,20,39,TM
tr|A0A1B2JD65|A0A1B2JD65_PICPA,26,48,TM
tr|A0A1B2JD68|A0A1B2JD68_PICPA,8,19,SP
tr|A0A1B2JDE1|A0A1B2JDE1_PICPA,3,14,SP
tr|A0A1B2JDF9|A0A1B2JDF9_PICPA,9,20,SP
tr|A0A1B2JDH4|A0A1B2JDH4_PICPA,6,17,SP
tr|A0A1B2JDH6|A0A1B2JDH6_PICPA,3,14,SP
tr|A0A1B2JDI0|A0A1B2JDI0_PICPA,35,55,TM
tr|A0A1B2JDI1|A0A1B2JDI1_PICPA,6,15,SP
tr|A0A1B2JDK4|A0A1B2JDK4_PICPA,41,59,TM
tr|A0A1B2JDN5|A0A1B2JDN5_PICPA,20,31,SP
tr|A0A1B2JDQ0|A0A1B2JDQ0_PICPA,6,28,TM
tr|A0A1B2JDS0|A0A1B2JDS0_PICPA,14,36,TM
tr|A0A1B2JDS7|A0A1B2JDS7_PICPA,27,50,TM
tr|A0A1B2JDU9|A0A1B2JDU9_PICPA,12,31,TM
tr|A0A1B2JE04|A0A1B2JE04_PICPA,2,12,SP
tr|A0A1B2JE14|A0A1B2JE14_PICPA,3,10,SP
tr|A0A1B2JE16|A0A1B2JE16_PICPA,13,33,TM
tr|A0A1B2JE21|A0A1B2JE21_PICPA,24,35,SP
tr|A0A1B2JE23|A0A1B2JE23_PICPA,4,12,SP
tr|A0A1B2JE34|A0A1B2JE34_PICPA,29,47,TM
tr|A0A1B2JE56|A0A1B2JE56_PICPA,20,37,TM
tr|A0A1B2JE60|A0A1B2JE60_PICPA,12,34,TM
tr|A0A1B2JE61|A0A1B2JE61_PICPA,25,43,TM
tr|A0A1B2JE77|A0A1B2JE77_PICPA,3,15,SP
tr|A0A1B2JEB2|A0A1B2JEB2_PICPA,7,20,SP
tr|A0A1B2JEB3|A0A1B2JEB3_PICPA,4,15,SP
tr|A0A1B2JEB8|A0A1B2JEB8_PICPA,4,16,SP
tr|A0A1B2JEC8|A0A1B2JEC8_PICPA,8,16,SP
tr|A0A1B2JEE5|A0A1B2JEE5_PICPA,2,11,SP
tr|A0A1B2JEH5|A0A1B2JEH5_PICPA,2,10,SP
tr|A0A1B2JEK2|A0A1B2JEK2_PICPA,4,11,SP
tr|A0A1B2JEK3|A0A1B2JEK3_PICPA,2,15,SP
tr|A0A1B2JEM8|A0A1B2JEM8_PICPA,9,26,TM
tr|A0A1B2JEP2|A0A1B2JEP2_PICPA,3,11,SP
tr|A0A1B2JEY1|A0A1B2JEY1_PICPA,6,36,TM
tr|A0A1B2JEY8|A0A1B2JEY8_PICPA,28,46,TM
tr|A0A1B2JEZ6|A0A1B2JEZ6_PICPA,28,51,TM
tr|A0A1B2JF00|A0A1B2JF00_PICPA,4,15,SP
tr|A0A1B2JF03|A0A1B2JF03_PICPA,31,51,TM
tr|A0A1B2JF62|A0A1B2JF62_PICPA,6,24,TM
tr|A0A1B2JF88|A0A1B2JF88_PICPA,2,11,SP
tr|A0A1B2JF94|A0A1B2JF94_PICPA,10,20,SP
tr|A0A1B2JF97|A0A1B2JF97_PICPA,7,15,SP
tr|A0A1B2JFB2|A0A1B2JFB2_PICPA,7,27,TM
tr|A0A1B2JFC3|A0A1B2JFC3_PICPA,3,14,SP
tr|A0A1B2JFG0|A0A1B2JFG0_PICPA,3,13,SP
tr|A0A1B2JFI0|A0A1B2JFI0_PICPA,7,17,SP
tr|A0A1B2JFJ3|A0A1B2JFJ3_PICPA,3,13,SP
tr|A0A1B2JFK2|A0A1B2JFK2_PICPA,4,14,SP
tr|A0A1B2JFQ1|A0A1B2JFQ1_PICPA,12,31,TM
tr|A0A1B2JFU5|A0A1B2JFU5_PICPA,2,9,SP
tr|A0A1B2JG02|A0A1B2JG02_PICPA,23,47,TM
tr|A0A1B2JG10|A0A1B2JG10_PICPA,28,45,TM
tr|A0A1B2JG19|A0A1B2JG19_PICPA,33,55,TM
tr|A0A1B2JG30|A0A1B2JG30_PICPA,3,15,SP
tr|A0A1B2JG35|A0A1B2JG35_PICPA,7,30,TM
tr|A0A1B2JG60|A0A1B2JG60_PICPA,12,34,TM
tr|A0A1B2JGG5|A0A1B2JGG5_PICPA,23,42,TM
tr|A0A1B2JGH2|A0A1B2JGH2_PICPA,16,28,SP
tr|A0A1B2JGH4|A0A1B2JGH4_PICPA,32,59,TM
tr|A0A1B2JGJ5|A0A1B2JGJ5_PICPA,7,18,SP
tr|A0A1B2JGK2|A0A1B2JGK2_PICPA,6,29,TM
tr|A0A1B2JGL0|A0A1B2JGL0_PICPA,39,57,TM
tr|A0A1B2JGN4|A0A1B2JGN4_PICPA,7,18,SP
tr|A0A1B2JGS5|A0A1B2JGS5_PICPA,38,59,TM
tr|A0A1B2JGT6|A0A1B2JGT6_PICPA,29,50,TM
tr|A0A1B2JGT7|A0A1B2JGT7_PICPA,6,16,SP
tr|A0A1B2JGT8|A0A1B2JGT8_PICPA,3,13,SP
tr|A0A1B2JGV6|A0A1B2JGV6_PICPA,25,49,TM
tr|A0A1B2JGX0|A0A1B2JGX0_PICPA,5,12,SP
tr|A0A1B2JGY1|A0A1B2JGY1_PICPA,11,21,SP
tr|A0A1B2JH26|A0A1B2JH26_PICPA,12,31,TM
tr|A0A1B2JH42|A0A1B2JH42_PICPA,12,34,TM
tr|A0A1B2JH46|A0A1B2JH46_PICPA,39,59,TM
tr|A0A1B2JH94|A0A1B2JH94_PICPA,12,42,TM
tr|A0A1B2JHB7|A0A1B2JHB7_PICPA,12,33,TM
tr|A0A1B2JHE7|A0A1B2JHE7_PICPA,6,17,SP
tr|A0A1B2JHJ3|A0A1B2JHJ3_PICPA,16,34,TM
tr|A0A1B2JHM0|A0A1B2JHM0_PICPA,5,16,SP
tr|A0A1B2JHM6|A0A1B2JHM6_PICPA,3,14,SP
tr|A0A1B2JHN8|A0A1B2JHN8_PICPA,4,15,SP
tr|A0A1B2JHR4|A0A1B2JHR4_PICPA,31,54,TM
tr|A0A1B2JHR9|A0A1B2JHR9_PICPA,6,14,SP
tr|A0A1B2JHS1|A0A1B2JHS1_PICPA,4,11,SP
tr|A0A1B2JHS3|A0A1B2JHS3_PICPA,4,12,SP
tr|A0A1B2JHU0|A0A1B2JHU0_PICPA,5,13,SP
tr|A0A1B2JHY4|A0A1B2JHY4_PICPA,7,27,TM
tr|A0A1B2JI07|A0A1B2JI07_PICPA,6,17,SP
tr|A0A1B2JI19|A0A1B2JI19_PICPA,12,29,TM
tr|A0A1B2JI38|A0A1B2JI38_PICPA,8,18,SP
tr|A0A1B2JI64|A0A1B2JI64_PICPA,6,28,TM
tr|A0A1B2JI72|A0A1B2JI72_PICPA,6,22,TM
tr|A0A1B2JID7|A0A1B2JID7_PICPA,34,54,TM
tr|A0A1B2JIG3|A0A1B2JIG3_PICPA,40,59,TM
tr|A0A1B2JIK9|A0A1B2JIK9_PICPA,39,58,TM
tr|A0A1B2JIL8|A0A1B2JIL8_PICPA,12,32,TM
tr|A0A1B2JIM0|A0A1B2JIM0_PICPA,6,13,SP
tr|A0A1B2JIN9|A0A1B2JIN9_PICPA,30,51,TM
tr|A0A1B2JIT2|A0A1B2JIT2_PICPA,3,14,SP
tr|A0A1B2JIU6|A0A1B2JIU6_PICPA,3,14,SP
tr|A0A1B2JIU9|A0A1B2JIU9_PICPA,33,50,TM
tr|A0A1B2JJ04|A0A1B2JJ04_PICPA,12,29,TM
tr|A0A1B2JJ05|A0A1B2JJ05_PICPA,8,18,SP
tr|A0A1B2JJ14|A0A1B2JJ14_PICPA,4,15,SP
tr|A0A1B2JJ43|A0A1B2JJ43_PICPA,38,59,TM
tr|A0A1B2JJ52|A0A1B2JJ52_PICPA,14,36,TM
tr|A0A1B2JJ63|A0A1B2JJ63_PICPA,6,29,TM
tr|A0A1B2JJ78|A0A1B2JJ78_PICPA,4,15,SP
tr|A0A1B2JJ84|A0A1B2JJ84_PICPA,6,24,TM
tr|A0A1B2JJB2|A0A1B2JJB2_PICPA,4,12,SP
tr|A0A1B2JJD0|A0A1B2JJD0_PICPA,6,25,TM
tr|A0A1B2JJR8|A0A1B2JJR8_PICPA,27,59,TM
tr|A0A1B2J524|A0A1B2J524_PICPA,5,15,SP
tr|A0A1B2J549|A0A1B2J549_PICPA,39,57,TM
tr|A0A1B2J554|A0A1B2J554_PICPA,12,31,TM
tr|A0A1B2J566|A0A1B2J566_PICPA,26,45,TM
tr|A0A1B2J569|A0A1B2J569_PICPA,3,10,SP
tr|A0A1B2J574|A0A1B2J574_PICPA,3,14,SP
tr|A0A1B2J580|A0A1B2J580_PICPA,3,15,SP
tr|A0A1B2J599|A0A1B2J599_PICPA,35,53,TM
tr|A0A1B2J5A8|A0A1B2J5A8_PICPA,15,32,TM
tr|A0A1B2J5A9|A0A1B2J5A9_PICPA,12,33,TM
tr|A0A1B2J5D1|A0A1B2J5D1_PICPA,7,20,SP
tr|A0A1B2J5I5|A0A1B2J5I5_PICPA,38,59,TM
tr|A0A1B2J5J9|A0A1B2J5J9_PICPA,23,31,SP
tr|A0A1B2J5K1|A0A1B2J5K1_PICPA,31,50,TM
tr|A0A1B2J5L1|A0A1B2J5L1_PICPA,12,19,SP
tr|A0A1B2J5M6|A0A1B2J5M6_PICPA,6,27,TM
tr|A0A1B2J5M8|A0A1B2J5M8_PICPA,16,38,TM
tr|A0A1B2J5N1|A0A1B2J5N1_PICPA,5,15,SP
tr|A0A1B2J5P9|A0A1B2J5P9_PICPA,40,57,TM
tr|A0A1B2J5Q0|A0A1B2J5Q0_PICPA,16,41,TM
tr|A0A1B2J5Q6|A0A1B2J5Q6_PICPA,12,31,TM
tr|A0A1B2J5R3|A0A1B2J5R3_PICPA,7,17,SP
tr|A0A1B2J5R8|A0A1B2J5R8_PICPA,16,27,SP
tr|A0A1B2J5U4|A0A1B2J5U4_PICPA,7,18,SP
tr|A0A1B2J5V1|A0A1B2J5V1_PICPA,38,57,TM
tr|A0A1B2J5V7|A0A1B2J5V7_PICPA,20,44,TM
tr|A0A1B2J5W1|A0A1B2J5W1_PICPA,6,24,TM
tr|A0A1B2J5W4|A0A1B2J5W4_PICPA,4,15,SP
tr|A0A1B2J5X4|A0A1B2J5X4_PICPA,12,28,TM
tr|A0A1B2J5Z0|A0A1B2J5Z0_PICPA,15,38,TM
tr|A0A1B2J612|A0A1B2J612_PICPA,12,30,TM
tr|A0A1B2J640|A0A1B2J640_PICPA,20,39,TM
tr|A0A1B2J645|A0A1B2J645_PICPA,21,41,TM
tr|A0A1B2J647|A0A1B2J647_PICPA,15,33,SP
tr|A0A1B2J661|A0A1B2J661_PICPA,6,13,SP
tr|A0A1B2J673|A0A1B2J673_PICPA,3,14,SP
tr|A0A1B2J683|A0A1B2J683_PICPA,12,29,TM
tr|A0A1B2J6A2|A0A1B2J6A2_PICPA,29,47,TM
tr|A0A1B2J6B0|A0A1B2J6B0_PICPA,12,32,TM
tr|A0A1B2J6B9|A0A1B2J6B9_PICPA,23,45,TM
tr|A0A1B2J6F9|A0A1B2J6F9_PICPA,20,37,TM
tr|A0A1B2J6M7|A0A1B2J6M7_PICPA,12,31,TM
tr|A0A1B2J6N2|A0A1B2J6N2_PICPA,6,26,TM
tr|A0A1B2J6N8|A0A1B2J6N8_PICPA,4,11,SP
tr|A0A1B2J6Q1|A0A1B2J6Q1_PICPA,5,12,SP
tr|A0A1B2J6Q2|A0A1B2J6Q2_PICPA,43,59,TM
tr|A0A1B2J6Q3|A0A1B2J6Q3_PICPA,5,12,SP
tr|A0A1B2J6Q5|A0A1B2J6Q5_PICPA,13,31,TM
tr|A0A1B2J6Q9|A0A1B2J6Q9_PICPA,32,56,TM
tr|A0A1B2J6S2|A0A1B2J6S2_PICPA,15,33,TM
tr|A0A1B2J6U1|A0A1B2J6U1_PICPA,39,55,TM
tr|A0A1B2J6U4|A0A1B2J6U4_PICPA,36,59,TM
tr|A0A1B2J6U6|A0A1B2J6U6_PICPA,7,15,SP
tr|A0A1B2J6V5|A0A1B2J6V5_PICPA,4,15,SP
tr|A0A1B2J6W7|A0A1B2J6W7_PICPA,3,17,SP
tr|A0A1B2J6X6|A0A1B2J6X6_PICPA,4,15,SP
tr|A0A1B2J6Y2|A0A1B2J6Y2_PICPA,25,43,TM
tr|A0A1B2J6Z9|A0A1B2J6Z9_PICPA,20,35,TM
tr|A0A1B2J713|A0A1B2J713_PICPA,30,52,TM
tr|A0A1B2J721|A0A1B2J721_PICPA,12,35,TM
tr|A0A1B2J734|A0A1B2J734_PICPA,6,14,SP
tr|A0A1B2J739|A0A1B2J739_PICPA,15,41,TM
tr|A0A1B2J748|A0A1B2J748_PICPA,6,14,SP
tr|A0A1B2J758|A0A1B2J758_PICPA,7,15,SP
tr|A0A1B2J768|A0A1B2J768_PICPA,5,16,SP
tr|A0A1B2J770|A0A1B2J770_PICPA,7,17,SP
tr|A0A1B2J772|A0A1B2J772_PICPA,3,14,SP
tr|A0A1B2J778|A0A1B2J778_PICPA,2,10,SP
tr|A0A1B2J780|A0A1B2J780_PICPA,30,53,TM
tr|A0A1B2J781|A0A1B2J781_PICPA,15,39,TM
tr|A0A1B2J782|A0A1B2J782_PICPA,3,14,SP
tr|A0A1B2J787|A0A1B2J787_PICPA,7,26,TM
tr|A0A1B2J7B0|A0A1B2J7B0_PICPA,7,18,SP
tr|A0A1B2J7B2|A0A1B2J7B2_PICPA,18,36,TM
tr|A0A1B2J7C4|A0A1B2J7C4_PICPA,5,15,SP
tr|A0A1B2J7D2|A0A1B2J7D2_PICPA,4,13,SP
tr|A0A1B2J7E5|A0A1B2J7E5_PICPA,41,59,TM
tr|A0A1B2J7E6|A0A1B2J7E6_PICPA,19,30,SP
tr|A0A1B2J7E7|A0A1B2J7E7_PICPA,5,12,SP
tr|A0A1B2J7E9|A0A1B2J7E9_PICPA,21,42,TM
tr|A0A1B2J7F3|A0A1B2J7F3_PICPA,25,45,TM
