"seqid","window_length","window_start","window_end","window_type","window_origin","KD_hydropathy","KD_max_hydropathy","rose_hydropathy","rose_max_hydropathy","Hessa_hydropathy","Hessa_max_hydropathy"
"YDR246W-A",8,7,14,"SP","phobius",13.8666666666667,1.73333333333333,6.33777777777778,0.792222222222222,6.60444444444445,0.825555555555556
"YBR092C",9,4,12,"SP","phobius",19.7,2.18888888888889,7.07,0.785555555555556,3.72,0.413333333333333
"YJL028W",29,32,60,"TM","phobius",80.5555555555556,2.77777777777778,24.65,0.85,12.8888888888889,0.444444444444444
"YPR114W",20,38,57,"TM","phobius",38.2222222222222,1.91111111111111,16.9777777777778,0.848888888888889,13.8888888888889,0.694444444444444
"YPR091C",22,6,27,"TM","phobius",57.2,2.6,18.0644444444444,0.821111111111111,9.43555555555556,0.428888888888889
"YKL051W",23,12,34,"TM","phobius",62.1,2.7,19.5755555555556,0.851111111111111,13.9277777777778,0.605555555555556
"YLR308W",11,10,20,"SP","phobius",27.1333333333333,2.46666666666667,9.04444444444444,0.822222222222222,9.41111111111111,0.855555555555556
"YPR121W",12,2,13,"SP","phobius",38.1333333333333,3.17777777777778,10.2,0.85,7.6,0.633333333333333
"YMR148W",21,7,27,"TM","phobius",59.5,2.83333333333333,17.5933333333333,0.837777777777778,2.8,0.133333333333333
"YLR342W-A",20,6,25,"TM","phobius",45.7777777777778,2.28888888888889,16.4222222222222,0.821111111111111,18.8666666666667,0.943333333333333
"YCR044C",12,3,14,"SP","phobius",39.0666666666667,3.25555555555556,10.1333333333333,0.844444444444445,1.44,0.12
"YIL040W",19,40,58,"TM","phobius",52.7777777777778,2.77777777777778,16.0444444444444,0.844444444444444,18.4933333333333,0.973333333333333
"YBR147W",23,12,34,"TM","phobius",72.8333333333333,3.16666666666667,20.1633333333333,0.876666666666667,33.5033333333333,1.45666666666667
"YLR065C",18,20,37,"TM","phobius",43.2,2.4,14.6,0.811111111111111,17.84,0.991111111111111
"YNL280C",23,12,34,"TM","phobius",55.2,2.4,18.63,0.81,25.0955555555556,1.09111111111111
"YIL176C",12,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222,4.76,0.396666666666667
"YBR042C",22,12,33,"TM","phobius",61.8444444444445,2.81111111111111,18.4311111111111,0.837777777777778,27.0111111111111,1.22777777777778
"YBR162C",11,8,18,"SP","phobius",25.6666666666667,2.33333333333333,8.8,0.8,5.14555555555556,0.467777777777778
"YKL021C",17,6,22,"TM","phobius",47.2222222222222,2.77777777777778,14.3933333333333,0.846666666666667,24.3477777777778,1.43222222222222
"YNR062C",22,16,37,"TM","phobius",60.3777777777778,2.74444444444444,18.6266666666667,0.846666666666667,14.4955555555556,0.658888888888889
"YJL034W",18,12,29,"TM","phobius",56,3.11111111111111,15.08,0.837777777777778,13.84,0.768888888888889
"YHR057C",12,3,14,"SP","phobius",30.6666666666667,2.55555555555556,10.32,0.86,5.05333333333333,0.421111111111111
"YOL162W",18,6,23,"TM","phobius",37.8,2.1,14.34,0.796666666666667,12.28,0.682222222222222
"YLR385C",10,7,16,"SP","phobius",31.2222222222222,3.12222222222222,8.27777777777778,0.827777777777778,12.6,1.26
"YER185W",23,20,42,"TM","phobius",90.7222222222222,3.94444444444444,20.01,0.87,24.7377777777778,1.07555555555556
"YGL022W",21,15,35,"TM","phobius",65.8,3.13333333333333,17.6166666666667,0.838888888888889,12.3666666666667,0.588888888888889
"YDR453C",22,34,55,"TM","phobius",61.1111111111111,2.77777777777778,17.8444444444444,0.811111111111111,21.12,0.96
"YPL154C",12,6,17,"SP","phobius",36.2666666666667,3.02222222222222,9.78666666666667,0.815555555555555,7.34666666666667,0.612222222222222
"YNL291C",12,4,15,"SP","phobius",32.8,2.73333333333333,10.12,0.843333333333333,4.02666666666667,0.335555555555556
"YOL107W",19,25,43,"TM","phobius",42.8555555555556,2.25555555555556,15.6644444444444,0.824444444444444,21.6388888888889,1.13888888888889
"YHR026W",19,20,38,"TM","phobius",67.7666666666667,3.56666666666667,16.1711111111111,0.851111111111111,12.73,0.67
"YGR028W",21,7,27,"TM","phobius",42.4666666666667,2.02222222222222,16.5666666666667,0.788888888888889,27.93,1.33
"YNR018W",19,20,38,"TM","phobius",45.3888888888889,2.38888888888889,15.3266666666667,0.806666666666667,19,1
"YDR525W-A",17,6,22,"TM","phobius",59.8777777777778,3.52222222222222,14.6011111111111,0.858888888888889,16.5277777777778,0.972222222222222
"YNL252C",6,10,15,"SP","phobius",5.66666666666667,0.944444444444444,4.42,0.736666666666667,4.56666666666667,0.761111111111111
"YGR282C",12,7,18,"SP","phobius",21.6,1.8,9.29333333333333,0.774444444444444,4.78666666666667,0.398888888888889
"YLR299W",22,12,33,"TM","phobius",54.0222222222222,2.45555555555556,18.6022222222222,0.845555555555556,19.9466666666667,0.906666666666667
"YDR518W",12,7,18,"SP","phobius",31.2,2.6,9.86666666666667,0.822222222222222,4.08,0.34
"YKR069W",11,5,15,"SP","phobius",16.1333333333333,1.46666666666667,8.45777777777778,0.768888888888889,11.11,1.01
"YLR080W",19,30,48,"TM","phobius",38.2111111111111,2.01111111111111,16.1711111111111,0.851111111111111,30.1677777777778,1.58777777777778
"YPR198W",12,5,16,"SP","phobius",33.6,2.8,9.88,0.823333333333333,4.90666666666667,0.408888888888889
"YOR020W-A",22,12,33,"TM","phobius",53.5333333333333,2.43333333333333,17.6733333333333,0.803333333333333,24.4444444444444,1.11111111111111
"Q0275",25,21,45,"TM","phobius",65.2777777777778,2.61111111111111,20.1111111111111,0.804444444444445,28.8888888888889,1.15555555555556
"YDL072C",21,6,26,"TM","phobius",66.7333333333333,3.17777777777778,17.64,0.84,16.2633333333333,0.774444444444444
"YIL049W",19,12,30,"TM","phobius",50.4555555555556,2.65555555555556,15.8755555555556,0.835555555555555,14.3766666666667,0.756666666666667
"YGL204C",19,22,40,"TM","phobius",62.0666666666667,3.26666666666667,15.96,0.84,10.0066666666667,0.526666666666667
"YGL168W",22,12,33,"TM","phobius",41.0666666666667,1.86666666666667,18.0644444444444,0.821111111111111,21.7066666666667,0.986666666666667
"YPL096C-A",22,7,28,"TM","phobius",56.7111111111111,2.57777777777778,17.7711111111111,0.807777777777778,33.44,1.52
"YLR307W",12,6,17,"SP","phobius",30.6666666666667,2.55555555555556,9.78666666666667,0.815555555555556,11.5333333333333,0.961111111111111
"YDR504C",31,22,52,"TM","phobius",111.944444444444,3.61111111111111,27.0733333333333,0.873333333333333,18.5655555555556,0.598888888888889
"YBR085W",19,12,30,"TM","phobius",34.6222222222222,1.82222222222222,15.0944444444444,0.794444444444444,24.7633333333333,1.30333333333333
"YHR132C",12,7,18,"SP","phobius",39.6,3.3,10.24,0.853333333333333,8.44,0.703333333333333
"YDR410C",22,20,41,"TM","phobius",65.7555555555556,2.98888888888889,18.3577777777778,0.834444444444444,37.3511111111111,1.69777777777778
"YFR020W",9,7,15,"SP","phobius",28.1,3.12222222222222,7.6,0.844444444444445,1.11,0.123333333333333
"YBL017C",14,3,16,"SP","phobius",35.4666666666667,2.53333333333333,11.4644444444444,0.818888888888889,5.52222222222222,0.394444444444444
"YOR381W",12,4,15,"SP","phobius",33.6,2.8,10.0533333333333,0.837777777777778,1.22666666666667,0.102222222222222
"YLR403W",8,13,20,"SP","phobius",1.06666666666667,0.133333333333333,5.76888888888889,0.721111111111111,6.45333333333333,0.806666666666667
"YNL329C",12,3,14,"SP","phobius",15.2,1.26666666666667,9.28,0.773333333333333,5.92,0.493333333333333
"YGL041C-B",25,15,39,"TM","phobius",80.2777777777778,3.21111111111111,21.3611111111111,0.854444444444444,10.9722222222222,0.438888888888889
"YMR202W",20,6,25,"TM","phobius",60.6666666666667,3.03333333333333,16.5333333333333,0.826666666666667,16.4222222222222,0.821111111111111
"YMR126C",21,12,32,"TM","phobius",70.9333333333333,3.37777777777778,17.64,0.84,16.5433333333333,0.787777777777778
"YIL162W",12,3,14,"SP","phobius",30.6666666666667,2.55555555555556,9.85333333333333,0.821111111111111,4.2,0.35
"YLR283W",9,21,29,"SP","phobius",13.5,1.5,7.27,0.807777777777778,7.64,0.848888888888889
"YKR061W",12,14,25,"SP","phobius",36.5333333333333,3.04444444444444,10.16,0.846666666666667,9.2,0.766666666666667
"YAL042W",22,21,42,"TM","phobius",61.8444444444444,2.81111111111111,18.26,0.83,34.0266666666667,1.54666666666667
"YOR030W",18,6,23,"TM","phobius",29,1.61111111111111,14.58,0.81,13.82,0.767777777777778
"YLR454W",20,12,31,"TM","phobius",49.1111111111111,2.45555555555556,16.6444444444444,0.832222222222222,16.2444444444444,0.812222222222222
"YLR261C",8,8,15,"SP","phobius",17.9555555555556,2.24444444444444,6.55111111111111,0.818888888888889,2.11555555555556,0.264444444444444
"YBR096W",17,30,46,"TM","phobius",28.7111111111111,1.68888888888889,13.7511111111111,0.808888888888889,18.6811111111111,1.09888888888889
"YJR116W",19,36,54,"TM","phobius",40.1111111111111,2.11111111111111,15.4533333333333,0.813333333333333,16.6566666666667,0.876666666666667
"YDL052C",12,14,25,"SP","phobius",36.2666666666667,3.02222222222222,9.84,0.82,2.82666666666667,0.235555555555556
"YCR094W",21,39,59,"TM","phobius",71.6333333333333,3.41111111111111,18.0366666666667,0.858888888888889,24.85,1.18333333333333
"YLR253W",17,35,51,"TM","phobius",34.7555555555556,2.04444444444444,13.3166666666667,0.783333333333333,19.2288888888889,1.13111111111111
"YNL033W",12,10,21,"SP","phobius",30.6666666666667,2.55555555555556,9.72,0.81,7.21333333333333,0.601111111111111
"YKL175W",25,6,30,"TM","phobius",73.6111111111111,2.94444444444444,21.0277777777778,0.841111111111111,23.5555555555556,0.942222222222222
"YDR456W",11,5,15,"SP","phobius",21.6333333333333,1.96666666666667,8.64111111111111,0.785555555555556,8.17666666666667,0.743333333333334
"YML101C",16,6,21,"TM","phobius",49.2444444444444,3.07777777777778,13.6355555555556,0.852222222222222,15.6088888888889,0.975555555555556
"YKL037W",18,12,29,"TM","phobius",48.2,2.67777777777778,15.08,0.837777777777778,19.38,1.07666666666667
"YOR384W",9,6,14,"SP","phobius",27.9,3.1,7.47,0.83,2.64,0.293333333333333
"YOL154W",8,8,15,"SP","phobius",19.7333333333333,2.46666666666667,6.40888888888889,0.801111111111111,4.05333333333333,0.506666666666667
"YAL018C",11,3,13,"SP","phobius",22.8555555555556,2.07777777777778,8.67777777777778,0.788888888888889,2.12666666666667,0.193333333333333
"YEL002C",12,7,18,"SP","phobius",34.8,2.9,10.1466666666667,0.845555555555556,8.14666666666667,0.678888888888889
"YNL146C-A",7,2,8,"SP","phobius",15.9444444444444,2.27777777777778,5.77111111111111,0.824444444444444,3.56222222222222,0.508888888888889
"YPL277C",21,7,27,"TM","phobius",76.7666666666667,3.65555555555556,17.85,0.85,17.4766666666667,0.832222222222222
"YLR104W",12,6,17,"SP","phobius",43.6,3.63333333333333,10.2666666666667,0.855555555555556,8.82666666666667,0.735555555555556
"YHR007C-A",23,21,43,"TM","phobius",41.6555555555556,1.81111111111111,18.3488888888889,0.797777777777778,28.2644444444444,1.22888888888889
"YJL037W",12,10,21,"SP","phobius",36.2666666666667,3.02222222222222,10.0933333333333,0.841111111111111,6.92,0.576666666666667
"Q0085",19,39,57,"TM","phobius",59.3222222222222,3.12222222222222,15.8755555555556,0.835555555555555,30.78,1.62
"YMR175W-A",8,3,10,"SP","phobius",14.6666666666667,1.83333333333333,6.59555555555556,0.824444444444444,4.04444444444444,0.505555555555556
"YER053C-A",16,6,21,"TM","phobius",47.4666666666667,2.96666666666667,13.5822222222222,0.848888888888889,12.5688888888889,0.785555555555556
"YKL096C-B",18,31,48,"TM","phobius",41.4,2.3,14.9,0.827777777777778,30.36,1.68666666666667
"YGL200C",9,8,16,"SP","phobius",28,3.11111111111111,7.76,0.862222222222222,1.77,0.196666666666667
"YNL194C",23,6,28,"TM","phobius",67.4666666666667,2.93333333333333,19.1666666666667,0.833333333333333,22.2844444444444,0.968888888888889
"YBR255C-A",23,22,44,"TM","phobius",52.9,2.3,18.17,0.79,16.2022222222222,0.704444444444445
"YER044C",21,26,46,"TM","phobius",61.1333333333333,2.91111111111111,17.29,0.823333333333333,20.72,0.986666666666667
"YCL049C",12,6,17,"SP","phobius",24.6666666666667,2.05555555555556,9.41333333333333,0.784444444444444,7.57333333333333,0.631111111111111
"YBR106W",20,28,47,"TM","phobius",38.2222222222222,1.91111111111111,16.4666666666667,0.823333333333333,17.1111111111111,0.855555555555556
"YDR204W",18,21,38,"TM","phobius",34.8,1.93333333333333,14.3,0.794444444444444,18.44,1.02444444444444
"YJR151C",11,4,14,"SP","phobius",32.0222222222222,2.91111111111111,8.88555555555556,0.807777777777778,3.98444444444444,0.362222222222222
"YML038C",22,37,58,"TM","phobius",41.5555555555556,1.88888888888889,17.8444444444444,0.811111111111111,15.9377777777778,0.724444444444444
"YGL160W",22,23,44,"TM","phobius",66,3,18.26,0.83,19.9955555555556,0.908888888888889
"YCR041W",19,24,42,"TM","phobius",48.3444444444444,2.54444444444444,15.4955555555556,0.815555555555556,16.8888888888889,0.888888888888889
"YJR012C",22,17,38,"TM","phobius",66,3,19.0422222222222,0.865555555555556,8.36,0.38
"YFL021W",18,7,24,"TM","phobius",49.2,2.73333333333333,15,0.833333333333333,16.76,0.931111111111111
"YIL023C",12,3,14,"SP","phobius",31.6,2.63333333333333,9.64,0.803333333333333,8.54666666666667,0.712222222222222
"YNR021W",19,42,60,"TM","phobius",55.9444444444444,2.94444444444444,15.8755555555556,0.835555555555555,26.03,1.37
"YIL037C",24,20,43,"TM","phobius",66.4,2.76666666666667,20.0533333333333,0.835555555555555,12.2666666666667,0.511111111111111
"YEL043W",11,3,13,"SP","phobius",28.6,2.6,8.98333333333333,0.816666666666667,3.03111111111111,0.275555555555555
"YPL053C",18,12,29,"TM","phobius",59,3.27777777777778,15.26,0.847777777777778,26.66,1.48111111111111
"YBR074W",18,18,35,"TM","phobius",44.2,2.45555555555556,14.68,0.815555555555556,18.94,1.05222222222222
"YML012W",12,4,15,"SP","phobius",33.3333333333333,2.77777777777778,9.68,0.806666666666667,6.32,0.526666666666667
"YER182W",18,29,46,"TM","phobius",23,1.27777777777778,14.28,0.793333333333333,25.7,1.42777777777778
"YDR411C",23,37,59,"TM","phobius",60.8222222222222,2.64444444444444,18.7577777777778,0.815555555555556,28.4433333333333,1.23666666666667
"YDR437W",23,6,28,"TM","phobius",58.5222222222222,2.54444444444444,18.9366666666667,0.823333333333333,27.9322222222222,1.21444444444444
"YKL028W",20,20,39,"TM","phobius",56.4444444444444,2.82222222222222,16.4222222222222,0.821111111111111,25.5333333333333,1.27666666666667
"YLR020C",20,12,31,"TM","phobius",45.1111111111111,2.25555555555556,16.1555555555556,0.807777777777778,15.8222222222222,0.791111111111111
"YEL016C",19,29,47,"TM","phobius",65.0222222222222,3.42222222222222,16.1922222222222,0.852222222222222,15.6011111111111,0.821111111111111
"YFR042W",20,12,31,"TM","phobius",46,2.3,16.6666666666667,0.833333333333333,24.6,1.23
"YOL161C",12,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222,4.76,0.396666666666667
"YDR307W",19,29,47,"TM","phobius",59.5333333333333,3.13333333333333,16.0655555555556,0.845555555555556,17.9444444444444,0.944444444444445
"YHR211W",13,7,19,"SP","phobius",46.2222222222222,3.55555555555556,11.1655555555556,0.858888888888889,3.20666666666667,0.246666666666667
"YCL057C-A",20,41,60,"TM","phobius",44.6666666666667,2.23333333333333,16.2,0.81,14.6888888888889,0.734444444444444
"Q0105",25,28,52,"TM","phobius",70,2.8,20.6388888888889,0.825555555555556,25.6666666666667,1.02666666666667
"YIL099W",9,11,19,"SP","phobius",18.7,2.07777777777778,7.24,0.804444444444445,6.71,0.745555555555556
"YDR144C",12,3,14,"SP","phobius",31.7333333333333,2.64444444444444,9.90666666666667,0.825555555555555,4.57333333333333,0.381111111111111
"YKL209C",22,26,47,"TM","phobius",59.1555555555556,2.68888888888889,18.26,0.83,20.3866666666667,0.926666666666667
"YJL004C",24,30,53,"TM","phobius",54.4,2.26666666666667,19.92,0.83,22.1066666666667,0.921111111111111
"YGL146C",19,34,52,"TM","phobius",57.2111111111111,3.01111111111111,16.0022222222222,0.842222222222222,19.6966666666667,1.03666666666667
"YDR055W",12,3,14,"SP","phobius",30,2.5,9.53333333333333,0.794444444444444,7.13333333333333,0.594444444444444
"YBR110W",27,6,32,"TM","phobius",85.5,3.16666666666667,22.53,0.834444444444444,31.5,1.16666666666667
"YGR089W",22,39,60,"TM","phobius",63.8,2.9,18.2355555555556,0.828888888888889,15.7177777777778,0.714444444444444
"YLR450W",20,25,44,"TM","phobius",66.4444444444444,3.32222222222222,16.8222222222222,0.841111111111111,16.1555555555556,0.807777777777778
"YDR090C",22,38,59,"TM","phobius",51.0888888888889,2.32222222222222,18.3577777777778,0.834444444444444,19.2622222222222,0.875555555555556
"YHL017W",12,4,15,"SP","phobius",33.3333333333333,2.77777777777778,10.1333333333333,0.844444444444445,8.08,0.673333333333333
"YDL128W",19,40,58,"TM","phobius",52.9888888888889,2.78888888888889,15.6011111111111,0.821111111111111,17.5855555555556,0.925555555555556
"YGL085W",21,12,32,"TM","phobius",59.0333333333333,2.81111111111111,16.9866666666667,0.808888888888889,23.7766666666667,1.13222222222222
"YGR023W",11,21,31,"SP","phobius",21.3888888888889,1.94444444444444,8.81222222222222,0.801111111111111,3.66666666666667,0.333333333333333
"YGL139W",11,10,20,"SP","phobius",36.7888888888889,3.34444444444444,9.16666666666667,0.833333333333333,5.54888888888889,0.504444444444444
"YDR079W",19,18,36,"TM","phobius",49.1888888888889,2.58888888888889,15.6855555555556,0.825555555555555,19.8866666666667,1.04666666666667
"YDR205W",22,6,27,"TM","phobius",49.3777777777778,2.24444444444444,17.4777777777778,0.794444444444445,28.0866666666667,1.27666666666667
"YLR343W",11,9,19,"SP","phobius",39.6,3.6,9.44777777777778,0.858888888888889,6.40444444444445,0.582222222222222
"YGR036C",22,33,54,"TM","phobius",61.1111111111111,2.77777777777778,18.0888888888889,0.822222222222222,11.8555555555556,0.538888888888889
"YDR513W",21,6,26,"TM","phobius",78.4,3.73333333333333,17.9433333333333,0.854444444444444,34.3233333333333,1.63444444444444
"YOR010C",11,6,16,"SP","phobius",31.2888888888889,2.84444444444444,8.75111111111111,0.795555555555556,4.07,0.37
"YGL010W",19,25,43,"TM","phobius",41.1666666666667,2.16666666666667,15.39,0.81,28.2044444444444,1.48444444444444
"YMR281W",19,14,32,"TM","phobius",52.9888888888889,2.78888888888889,15.6644444444444,0.824444444444444,17.8811111111111,0.941111111111111
"YMR006C",9,6,14,"SP","phobius",12.5,1.38888888888889,6.8,0.755555555555556,10.68,1.18666666666667
"YNL146W",18,14,31,"TM","phobius",66.8,3.71111111111111,15.6,0.866666666666667,20.48,1.13777777777778
"YHR078W",10,3,12,"SP","phobius",34.6666666666667,3.46666666666667,8.42222222222222,0.842222222222222,0.488888888888889,0.0488888888888889
"YGR012W",20,12,31,"TM","phobius",53.7777777777778,2.68888888888889,16.2666666666667,0.813333333333333,20.4444444444444,1.02222222222222
"YNL095C",19,20,38,"TM","phobius",52.1444444444445,2.74444444444444,15.8122222222222,0.832222222222222,12.0122222222222,0.632222222222222
"YEL040W",12,8,19,"SP","phobius",33.2,2.76666666666667,10.16,0.846666666666667,6.18666666666667,0.515555555555556
"YLR088W",23,20,42,"TM","phobius",63.1222222222222,2.74444444444444,19.32,0.84,14.2088888888889,0.617777777777778
"YKL163W",8,7,14,"SP","phobius",17.6888888888889,2.21111111111111,6.22222222222222,0.777777777777778,7.20888888888889,0.901111111111111
"YPR149W",17,12,28,"TM","phobius",51.7555555555556,3.04444444444444,14.3366666666667,0.843333333333333,16.49,0.97
"YIL123W",9,3,11,"SP","phobius",14.2,1.57777777777778,6.97,0.774444444444444,4.49,0.498888888888889
"YKL018C-A",12,7,18,"SP","phobius",33.0666666666667,2.75555555555556,9.70666666666667,0.808888888888889,7.62666666666667,0.635555555555556
"YPR157W",12,3,14,"SP","phobius",30.6666666666667,2.55555555555556,10.0533333333333,0.837777777777778,3.34666666666667,0.278888888888889
"YFL066C",20,36,55,"TM","phobius",42.2222222222222,2.11111111111111,16.1777777777778,0.808888888888889,23.5333333333333,1.17666666666667
"YNL130C",23,38,60,"TM","phobius",69.2555555555556,3.01111111111111,19.7544444444444,0.858888888888889,18.4255555555556,0.801111111111111
"YFL048C",11,10,20,"SP","phobius",30.9222222222222,2.81111111111111,9.00777777777778,0.818888888888889,4.79111111111111,0.435555555555556
"YNL029C",25,12,36,"TM","phobius",77.5,3.1,21.0555555555556,0.842222222222222,15.3055555555556,0.612222222222222
"YMR035W",12,15,26,"SP","phobius",26.2666666666667,2.18888888888889,9.62666666666667,0.802222222222222,14.9466666666667,1.24555555555556
"YJR044C",23,12,34,"TM","phobius",71.8111111111111,3.12222222222222,19.1155555555556,0.831111111111111,21.0833333333333,0.916666666666667
"YDR381C-A",19,12,30,"TM","phobius",39.0555555555556,2.05555555555556,14.9888888888889,0.788888888888889,21.09,1.11
"YFL040W",12,28,39,"SP","phobius",32.5333333333333,2.71111111111111,9.96,0.83,5.97333333333333,0.497777777777778
"YBL098W",12,5,16,"SP","phobius",32,2.66666666666667,9.70666666666667,0.808888888888889,5.08,0.423333333333333
"YGR257C",21,16,36,"TM","phobius",40.6,1.93333333333333,16.59,0.79,23.52,1.12
"YBR036C",9,4,12,"SP","phobius",16.9,1.87777777777778,7.21,0.801111111111111,2.44,0.271111111111111
"YPL092W",19,16,34,"TM","phobius",44.7555555555556,2.35555555555556,16.0444444444444,0.844444444444444,18.3244444444444,0.964444444444444
"YGL027C",9,12,20,"SP","phobius",24.9,2.76666666666667,7.41,0.823333333333333,3.1,0.344444444444444
"YDL036C",9,25,33,"SP","phobius",16.4,1.82222222222222,6.92,0.768888888888889,9.48,1.05333333333333
"YHR045W",19,6,24,"TM","phobius",68.8222222222222,3.62222222222222,16.0655555555556,0.845555555555556,10.6188888888889,0.558888888888889
"YBR161W",18,7,24,"TM","phobius",51.4,2.85555555555556,14.8,0.822222222222222,12.18,0.676666666666667
"YIL169C",9,8,16,"SP","phobius",17.9,1.98888888888889,7.01,0.778888888888889,10.26,1.14
"YDR371W",21,14,34,"TM","phobius",75.1333333333333,3.57777777777778,17.9666666666667,0.855555555555556,18.34,0.873333333333334
"YGR294W",12,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222,4.76,0.396666666666667
"YJL171C",11,4,14,"SP","phobius",30.5555555555556,2.77777777777778,9.28888888888889,0.844444444444444,2.88444444444444,0.262222222222222
"YMR200W",9,11,19,"SP","phobius",18.4,2.04444444444444,7.25,0.805555555555555,6.48,0.72
"YIL027C",11,7,17,"SP","phobius",22.9777777777778,2.08888888888889,8.82444444444444,0.802222222222222,5.24333333333333,0.476666666666667
"YLR162W",18,38,55,"TM","phobius",53.4,2.96666666666667,15.7,0.872222222222222,20.82,1.15666666666667
"YOR175C",20,20,39,"TM","phobius",40.8888888888889,2.04444444444444,16.1111111111111,0.805555555555555,20.2222222222222,1.01111111111111
"YNR050C",10,5,14,"SP","phobius",23.3333333333333,2.33333333333333,8.05555555555556,0.805555555555556,7.28888888888889,0.728888888888889
"YPL207W",17,6,22,"TM","phobius",39.6666666666667,2.33333333333333,13.5055555555556,0.794444444444445,12.4477777777778,0.732222222222222
"YMR307W",9,9,17,"SP","phobius",18.4,2.04444444444444,7.04,0.782222222222222,4.14,0.46
"YJR131W",19,6,24,"TM","phobius",56.7888888888889,2.98888888888889,15.5377777777778,0.817777777777778,18.3244444444444,0.964444444444444
"YJL003W",25,34,58,"TM","phobius",58.6111111111111,2.34444444444444,20.8055555555556,0.832222222222222,20.7222222222222,0.828888888888889
"YLR042C",12,9,20,"SP","phobius",37.4666666666667,3.12222222222222,10.04,0.836666666666667,7.36,0.613333333333333
"YER093C-A",18,16,33,"TM","phobius",34,1.88888888888889,14.46,0.803333333333333,14.7,0.816666666666667
"YNL160W",12,3,14,"SP","phobius",33.4666666666667,2.78888888888889,9.76,0.813333333333333,6.33333333333334,0.527777777777778
